,$,CADENA,COMA,DEFINIR,DIFERENTE,DIV,FALSO,IDENTIFICADOR,IGUAL,IGUAL_IGUAL,IMPRIMIR,LLAVE_DER,LLAVE_IZQ,MAS,MAYOR,MAYOR_IGUAL,MENOR,MENOR_IGUAL,MENOS,MIENTRAS,MULT,NEGACION,NUMERO,O_LOGICO,PARA,PAR_DER,PAR_IZQ,POTENCIA,PUNTOYCOMA,RETORNAR,SI,SINO,VAR,VERDADERO,Y_LOGICO
PROGRAMA,lista_sentencias,,,lista_sentencias,,,,lista_sentencias,,,lista_sentencias,,,,,,,,,lista_sentencias,,,,,lista_sentencias,,,,,lista_sentencias,lista_sentencias,,lista_sentencias,,
asignacion_o_llamada,,,,,,,,,IGUAL expresion,,,,,,,,,,,,,,,,,,PAR_IZQ lista_argumentos PAR_DER,,,,,,,,
bloque,,,,,,,,,,,,,LLAVE_IZQ lista_sentencias LLAVE_DER,,,,,,,,,,,,,,,,,,,,,,
exp_comparacion,,exp_suma exp_comparacion_resto,,,,,exp_suma exp_comparacion_resto,exp_suma exp_comparacion_resto,,,,,,,,,,,exp_suma exp_comparacion_resto,,,exp_suma exp_comparacion_resto,exp_suma exp_comparacion_resto,,,,exp_suma exp_comparacion_resto,,,,,,,exp_suma exp_comparacion_resto,
exp_comparacion_resto,,,ε,,ε,,,,,ε,,,,,op_comp exp_suma exp_comparacion_resto,op_comp exp_suma exp_comparacion_resto,op_comp exp_suma exp_comparacion_resto,op_comp exp_suma exp_comparacion_resto,,,,,,ε,,ε,,,ε,,,,,,ε
exp_igualdad,,exp_comparacion exp_igualdad_resto,,,,,exp_comparacion exp_igualdad_resto,exp_comparacion exp_igualdad_resto,,,,,,,,,,,exp_comparacion exp_igualdad_resto,,,exp_comparacion exp_igualdad_resto,exp_comparacion exp_igualdad_resto,,,,exp_comparacion exp_igualdad_resto,,,,,,,exp_comparacion exp_igualdad_resto,
exp_igualdad_resto,,,ε,,op_igualdad exp_comparacion exp_igualdad_resto,,,,,op_igualdad exp_comparacion exp_igualdad_resto,,,,,,,,,,,,,,ε,,ε,,,ε,,,,,,ε
exp_logico_and,,exp_igualdad exp_logico_and_resto,,,,,exp_igualdad exp_logico_and_resto,exp_igualdad exp_logico_and_resto,,,,,,,,,,,exp_igualdad exp_logico_and_resto,,,exp_igualdad exp_logico_and_resto,exp_igualdad exp_logico_and_resto,,,,exp_igualdad exp_logico_and_resto,,,,,,,exp_igualdad exp_logico_and_resto,
exp_logico_and_resto,,,ε,,,,,,,,,,,,,,,,,,,,,ε,,ε,,,ε,,,,,,Y_LOGICO exp_igualdad exp_logico_and_resto
exp_logico_or_resto,,,ε,,,,,,,,,,,,,,,,,,,,,O_LOGICO exp_logico_and exp_logico_or_resto,,ε,,,ε,,,,,,
exp_mult,,exp_potencia exp_mult_resto,,,,,exp_potencia exp_mult_resto,exp_potencia exp_mult_resto,,,,,,,,,,,exp_potencia exp_mult_resto,,,exp_potencia exp_mult_resto,exp_potencia exp_mult_resto,,,,exp_potencia exp_mult_resto,,,,,,,exp_potencia exp_mult_resto,
exp_mult_resto,,,ε,,ε,op_mult exp_potencia exp_mult_resto,,,,ε,,,,ε,ε,ε,ε,ε,ε,,op_mult exp_potencia exp_mult_resto,,,ε,,ε,,,ε,,,,,,ε
exp_potencia,,exp_unario exp_potencia_resto,,,,,exp_unario exp_potencia_resto,exp_unario exp_potencia_resto,,,,,,,,,,,exp_unario exp_potencia_resto,,,exp_unario exp_potencia_resto,exp_unario exp_potencia_resto,,,,exp_unario exp_potencia_resto,,,,,,,exp_unario exp_potencia_resto,
exp_potencia_resto,,,ε,,ε,ε,,,,ε,,,,ε,ε,ε,ε,ε,ε,,ε,,,ε,,ε,,POTENCIA exp_unario exp_potencia_resto,ε,,,,,,ε
